iter	Logloss
0	0.6910148926
1	0.6871568604
2	0.683171875
3	0.6803424072
4	0.6779762573
5	0.6746164551
6	0.6724274902
7	0.6700687256
8	0.6673463135
9	0.6638604736
10	0.6611278076
11	0.6588447876
12	0.6567387695
13	0.6527772217
14	0.6507251587
15	0.6477229004
16	0.6452443848
17	0.6426435547
18	0.64053125
19	0.6381947021
20	0.6351531982
21	0.633461731
22	0.631104126
23	0.6286801758
24	0.6266577148
25	0.6242883911
26	0.6215629883
27	0.6202848511
28	0.617892395
29	0.6152607422
30	0.6130684814
31	0.6121804199
32	0.6101224365
33	0.6082330322
34	0.6065753174
35	0.6049521484
36	0.6030123291
37	0.6013432007
38	0.5993886719
39	0.5981598511
40	0.5972548828
41	0.5946133423
42	0.5927145386
43	0.5915620117
44	0.5899002075
45	0.5880321655
46	0.5865665894
47	0.5849645996
48	0.5832144775
49	0.5816120605
50	0.5798354492
51	0.5785698242
52	0.5776533813
53	0.5760787964
54	0.5747648926
55	0.5741403809
56	0.5725748291
57	0.570479248
58	0.5683721313
59	0.5665232544
60	0.5656494141
61	0.5642296143
62	0.5624684448
63	0.5613982544
64	0.5605157471
65	0.5593548584
66	0.5587955322
67	0.5573431396
68	0.5556142578
69	0.5543883057
70	0.5532502441
71	0.5519020996
72	0.5497324829
73	0.5483155518
74	0.5468986816
75	0.5453126221
76	0.544401001
77	0.5433226318
78	0.54255896
79	0.5416147461
80	0.5405128174
81	0.5394807739
82	0.5386751099
83	0.5377741699
84	0.5366899414
85	0.5358632202
86	0.5352550049
87	0.5327272339
88	0.5322549438
89	0.531121582
90	0.5294786987
91	0.52790979
92	0.5270274658
93	0.5262597046
94	0.5247149658
95	0.5236752319
96	0.5214668579
97	0.5208895264
98	0.5192276001
99	0.5181206055
100	0.5170534668
101	0.5161636963
102	0.514805481
103	0.5139202881
104	0.5129102173
105	0.5115778198
106	0.510853302
107	0.5094391479
108	0.5088231812
109	0.5078740845
110	0.5069727478
111	0.5062674255
112	0.505413147
113	0.5044588013
114	0.5026559448
115	0.501421875
116	0.5006620483
117	0.5000122681
118	0.4992786865
119	0.4984887085
120	0.4972808228
121	0.4960333252
122	0.4953623657
123	0.4945513916
124	0.4933831177
125	0.4923352966
126	0.4914838867
127	0.4906748047
128	0.4899295654
129	0.4891763306
130	0.4876815796
131	0.4863740234
132	0.4844226379
133	0.4836650085
134	0.4827817993
135	0.4815350952
136	0.4805948792
137	0.4799462891
138	0.4788228149
139	0.4777156677
140	0.4771237488
141	0.4761438904
142	0.4754459839
143	0.4740733948
144	0.4733869019
145	0.472632843
146	0.4721471252
147	0.4714758911
148	0.4709505615
149	0.4695473022
150	0.46858078
151	0.4675644531
152	0.4652106934
153	0.4646516724
154	0.4624499512
155	0.4616592407
156	0.4605236206
157	0.4598632812
158	0.4585598145
159	0.4575749512
160	0.4571939697
161	0.4562442017
162	0.4553927002
163	0.4549224548
164	0.4536737671
165	0.4523627319
166	0.4517903442
167	0.4510635681
168	0.4506440125
169	0.4495557251
170	0.4485978394
171	0.4471525269
172	0.4466442871
173	0.4456530762
174	0.4446399536
175	0.4440200806
176	0.4434749451
177	0.4425093384
178	0.4405431213
179	0.4398905334
180	0.4393120728
181	0.4381964111
182	0.4375444336
183	0.4367427368
184	0.4356508484
185	0.4349137573
186	0.4338213196
187	0.4332297974
188	0.4322811279
189	0.431677124
190	0.4303076477
191	0.429050415
192	0.428211731
193	0.4269128723
194	0.4259328613
195	0.4250192871
196	0.4243259277
197	0.4235601196
198	0.4226200562
199	0.4217189941
200	0.4210002136
201	0.4201808167
202	0.4193813477
203	0.4187139282
204	0.4182528687
205	0.4175183716
206	0.4166463928
207	0.4160647583
208	0.415366333
209	0.4146100769
210	0.4139975891
211	0.4132162476
212	0.4125313416
213	0.4119330444
214	0.4110881042
215	0.4098831787
216	0.409250061
217	0.4085209045
218	0.4074153442
219	0.4068396606
220	0.4060274658
221	0.4042119751
222	0.4031964417
223	0.402026001
224	0.4011978149
225	0.3998581848
226	0.3990326538
227	0.3984028625
228	0.3978893433
229	0.39722229
230	0.3963820801
231	0.3956323547
232	0.3947511597
233	0.3936876831
234	0.3931363525
235	0.392663208
236	0.3918353271
237	0.391238739
238	0.3909099426
239	0.3901832275
240	0.3895717163
241	0.3888061523
242	0.3881628418
243	0.3877649536
244	0.3869869385
245	0.3859627686
246	0.3852598267
247	0.3844398193
248	0.383515564
249	0.3822491455
250	0.3814979248
251	0.3802185974
252	0.3792351685
253	0.3783388062
254	0.3773616638
255	0.3766553345
256	0.3759779053
257	0.3749974976
258	0.3739101563
259	0.372989563
260	0.372426239
261	0.3712395325
262	0.3705931091
263	0.3698141479
264	0.368855072
265	0.3681182556
266	0.3673782654
267	0.3666366577
268	0.3659628906
269	0.3649280701
270	0.3643169556
271	0.3634324036
272	0.3629287109
273	0.3618845825
274	0.360757019
275	0.3602552185
276	0.359427002
277	0.3585028992
278	0.3573845215
279	0.3566976929
280	0.3556039734
281	0.3543773499
282	0.3529628296
283	0.3517625122
284	0.350812439
285	0.3501068115
286	0.3488457642
287	0.3476254272
288	0.3466264648
289	0.345713623
290	0.3451097107
291	0.344288269
292	0.3436235352
293	0.3428229675
294	0.3420660706
295	0.3411671143
296	0.3405032349
297	0.3392833862
298	0.3383451538
299	0.3370482178
300	0.3362674866
301	0.3354382935
302	0.3347217102
303	0.3341544495
304	0.3332817993
305	0.3323869629
306	0.331834259
307	0.3310965576
308	0.3304188232
309	0.3295585632
310	0.3286833191
311	0.3279126587
312	0.3272254639
313	0.3264754639
314	0.3257488098
315	0.3249453735
316	0.3241789856
317	0.3237545471
318	0.3230248718
319	0.3224617004
320	0.321631897
321	0.3205698853
322	0.3192105103
323	0.3183270874
324	0.317414978
325	0.3169782104
326	0.3160741577
327	0.315588562
328	0.3145311279
329	0.3134566956
330	0.3128277588
331	0.3121039734
332	0.310980957
333	0.3099664307
334	0.3090284424
335	0.3083776245
336	0.3075653687
337	0.3070672607
338	0.3063658447
339	0.3057807617
340	0.3051159363
341	0.3044008789
342	0.3041028137
343	0.3029731445
344	0.301690094
345	0.3009546509
346	0.30026297
347	0.2994815063
348	0.2988736572
349	0.297946167
350	0.2971630859
351	0.2962470093
352	0.2952078247
353	0.2943440247
354	0.293571106
355	0.2926708984
356	0.2918287659
357	0.2912437744
358	0.2908076172
359	0.2902423096
360	0.2895198364
361	0.2893280029
362	0.2883803101
363	0.2881262817
364	0.2874922485
365	0.2867237854
366	0.2859833069
367	0.2851343689
368	0.284204071
369	0.2829604492
370	0.2824219666
371	0.2816965637
372	0.2810119019
373	0.2805813599
374	0.2797838135
375	0.2790492554
376	0.2780415649
377	0.2777073669
378	0.2772488403
379	0.276328064
380	0.2759963074
381	0.2754186401
382	0.2749815369
383	0.2745673828
384	0.2740303345
385	0.2735493774
386	0.2730870056
387	0.2723058472
388	0.2715100403
389	0.2709085083
390	0.2704386597
391	0.2699924316
392	0.2697243042
393	0.2691495056
394	0.2685369873
395	0.267794342
396	0.2669355774
397	0.2665426025
398	0.2658483276
399	0.2649574585
